sample;EHI02000;EHI00416;EHI02025;EHI00142;EHI00392;EHI02068;EHI01508;EHI01482;EHI01523;EHI00408;EHI01467;EHI01527;EHI01507;EHI01499;EHI01473;EHI01463;EHI02001;EHI01526;EHI02008;EHI00276;EHI00414;EHI00402;EHI02036;EHI01494;EHI00385;EHI00375;EHI02032;EHI00382;EHI00144;EHI01550;EHI00161;EHI00376;EHI01464;EHI02002;EHI01529;EHI01549;EHI01480;EHI02019;EHI02003;EHI00380;EHI00393;EHI02029;EHI01458;EHI01461;EHI01996;EHI02039;EHI00374;EHI01472;EHI00410;EHI01770;EHI02037;EHI02028;EHI01496;EHI02020;EHI01771;EHI02235;EHI01478;EHI01728;EHI01517;EHI01518;EHI02011;EHI02274;EHI01501;EHI01522;EHI02263;EHI01831;EHI01485;EHI01559;EHI02297;EHI01521;EHI02291;EHI02007;EHI02009;EHI02292;EHI01493;EHI01530;EHI00383;EHI01528;EHI01504;EHI02012;EHI02015;EHI01483;EHI02255;EHI01997;EHI02300;EHI00368;EHI02304;EHI02301;EHI02306;EHI02242;EHI00361;EHI02035;EHI02017;EHI02038;EHI00389;EHI00411;EHI00405;EHI02303;EHI02241;EHI02305;EHI02302;EHI02023
EHI00380;0.03955;0.05518;0.03149;0.06763;0.03777;0.03595;0.03827;0.05098;0.03994;0.04793;0.04185;0.07173;0.04121;0.04030;0.06975;0.04227;0.04614;0.05779;0.06643;0.05856;0.06445;0.08911;0.04567;0.03895;0.05814;0.04833;0.03207;0.03968;0.03705;0.04417;0.07395;0.05911;0.05945;0.03511;0.04267;0.04858;0.03991;0.03140;0.03234;0.00000;0.04159;0.03876;0.07631;0.07584;0.06151;0.12179;0.10663;0.07535;0.07131;0.11767;0.08976;0.07635;0.08056;0.06976;0.11096;0.07728;0.07728;0.08396;0.07461;0.07587;0.07162;0.06608;0.07383;0.07574;0.09756;0.08901;0.07207;0.09344;0.10920;0.07193;0.07366;0.06483;0.06835;0.06744;0.07547;0.07557;0.07956;0.07722;0.07341;0.06521;0.08533;0.07367;0.06689;0.06394;0.07143;0.08093;0.07959;0.07786;0.09542;0.07722;0.07953;0.06949;0.06548;0.11580;0.13017;0.15172;0.07302;0.10167;0.07190;0.07311;0.07558;0.06585
EHI00393;0.04062;0.05340;0.03332;0.06510;0.03958;0.03835;0.04176;0.05164;0.04334;0.04870;0.04498;0.07108;0.04201;0.04327;0.07054;0.04520;0.04602;0.05841;0.06425;0.05780;0.06441;0.09000;0.04707;0.04189;0.05927;0.04937;0.03428;0.04273;0.04039;0.04493;0.07341;0.05878;0.05957;0.03541;0.04495;0.04973;0.04215;0.03324;0.03489;0.04159;0.00000;0.03903;0.08167;0.07930;0.06401;0.11947;0.10631;0.07882;0.07355;0.11788;0.08967;0.07687;0.08153;0.07407;0.11022;0.07966;0.08147;0.08681;0.07806;0.07903;0.07577;0.06955;0.07829;0.07841;0.09879;0.08653;0.07510;0.09214;0.10831;0.07597;0.07541;0.06782;0.07048;0.07074;0.07992;0.07909;0.08374;0.07920;0.07775;0.06979;0.08307;0.07673;0.07052;0.06658;0.07486;0.08310;0.07941;0.08180;0.09458;0.08033;0.08307;0.07394;0.06901;0.11483;0.13112;0.14772;0.07393;0.10072;0.07435;0.07562;0.07674;0.06829
EHI02029;0.03517;0.04865;0.03284;0.05839;0.03793;0.03501;0.04109;0.04607;0.04100;0.04352;0.04151;0.06494;0.03947;0.04050;0.06312;0.04143;0.03961;0.05377;0.05679;0.05173;0.05657;0.07965;0.04231;0.04118;0.05265;0.04448;0.03202;0.04335;0.03744;0.04332;0.06557;0.05201;0.05407;0.03157;0.04238;0.04603;0.04028;0.03059;0.03240;0.03876;0.03903;0.00000;0.08118;0.08022;0.06211;0.11135;0.09715;0.07757;0.06944;0.10904;0.08216;0.07035;0.07644;0.07290;0.10105;0.08210;0.08267;0.07983;0.07465;0.07820;0.07616;0.06838;0.07754;0.07752;0.08895;0.08269;0.07397;0.08586;0.09817;0.07415;0.07517;0.06591;0.06601;0.07001;0.07900;0.07731;0.08404;0.07749;0.07601;0.06953;0.07872;0.07432;0.06939;0.06466;0.07320;0.07870;0.07496;0.08102;0.08701;0.08189;0.08278;0.07230;0.06635;0.10492;0.12036;0.13756;0.07152;0.09231;0.07420;0.07433;0.07597;0.06332
EHI01458;0.08295;0.10418;0.05479;0.12293;0.06529;0.07446;0.06369;0.09602;0.07063;0.09241;0.07562;0.12832;0.07595;0.07421;0.12382;0.08171;0.09733;0.10450;0.12247;0.10974;0.11815;0.14447;0.08876;0.06363;0.10662;0.09089;0.06296;0.05011;0.06707;0.07385;0.12884;0.11082;0.11020;0.08109;0.07336;0.09179;0.07535;0.06635;0.06831;0.07631;0.08167;0.08118;0.00000;0.01547;0.02986;0.12134;0.10314;0.01610;0.04281;0.11768;0.08124;0.06362;0.06546;0.01098;0.10722;0.00963;0.01193;0.07193;0.04326;0.01858;0.01084;0.02310;0.02168;0.01979;0.09455;0.06462;0.02562;0.08194;0.10318;0.02562;0.01549;0.01949;0.04720;0.02050;0.01600;0.01926;0.00993;0.02199;0.02166;0.01569;0.07425;0.03146;0.01443;0.03102;0.02623;0.05610;0.05606;0.01142;0.08474;0.00958;0.01085;0.01426;0.02266;0.11091;0.13648;0.15209;0.04737;0.09708;0.01114;0.02110;0.02039;0.04400
EHI01461;0.08101;0.10235;0.05455;0.11923;0.06603;0.07341;0.06395;0.09354;0.06927;0.09007;0.07538;0.12584;0.07374;0.07415;0.12216;0.08037;0.09498;0.10224;0.11615;0.10875;0.11455;0.14435;0.08662;0.06435;0.10502;0.08897;0.06231;0.05078;0.06698;0.07297;0.12596;0.10799;0.10692;0.07873;0.07307;0.08999;0.07431;0.06727;0.06785;0.07584;0.07930;0.08022;0.01547;0.00000;0.02988;0.11860;0.10253;0.01829;0.04278;0.11218;0.07770;0.06066;0.06436;0.01351;0.10265;0.01179;0.01478;0.07182;0.04368;0.02032;0.01307;0.02322;0.02396;0.02150;0.09223;0.05929;0.02708;0.07934;0.10178;0.02641;0.01638;0.02000;0.04681;0.02124;0.01842;0.02130;0.01300;0.02259;0.02373;0.01765;0.07070;0.03200;0.01643;0.03016;0.02691;0.05580;0.05435;0.01386;0.08107;0.01248;0.01352;0.01564;0.02254;0.10893;0.13404;0.14983;0.04620;0.09744;0.01395;0.02156;0.02093;0.04274
EHI01996;0.06166;0.07972;0.05083;0.09369;0.05905;0.05902;0.05833;0.07319;0.06083;0.07052;0.06396;0.09775;0.06413;0.06195;0.09444;0.06465;0.07045;0.08095;0.09115;0.08587;0.08893;0.11299;0.06918;0.05976;0.08177;0.07059;0.05170;0.05756;0.05834;0.06576;0.09755;0.08358;0.08409;0.05949;0.06271;0.07272;0.06226;0.05267;0.05420;0.06151;0.06401;0.06211;0.02986;0.02988;0.00000;0.08991;0.07901;0.02915;0.03483;0.08645;0.05726;0.04355;0.04668;0.02514;0.07790;0.02898;0.03005;0.05439;0.03679;0.03089;0.02646;0.02454;0.03037;0.03062;0.06681;0.04825;0.03030;0.05891;0.07906;0.02960;0.02673;0.02198;0.03321;0.02483;0.02978;0.03025;0.03109;0.03080;0.02964;0.02259;0.04883;0.03261;0.02361;0.02564;0.02916;0.04299;0.04188;0.02982;0.06050;0.02946;0.03058;0.02527;0.02338;0.08430;0.10441;0.12486;0.03611;0.07325;0.02454;0.02837;0.02895;0.03099
EHI02039;0.10529;0.10894;0.12595;0.11212;0.12728;0.11604;0.13182;0.11506;0.12796;0.11247;0.12343;0.11017;0.12682;0.12298;0.10606;0.12099;0.09990;0.11567;0.09318;0.10998;0.10646;0.10719;0.11678;0.13058;0.11206;0.11315;0.11950;0.14199;0.12517;0.13184;0.10575;0.11004;0.11333;0.10460;0.12517;0.12184;0.12319;0.11310;0.11451;0.12179;0.11947;0.11135;0.12134;0.11860;0.08991;0.00000;0.08114;0.11774;0.09687;0.08353;0.08182;0.07706;0.08998;0.11149;0.08309;0.12030;0.12173;0.09208;0.10373;0.11548;0.11269;0.10310;0.11559;0.11424;0.07125;0.09017;0.11036;0.09258;0.08005;0.11000;0.10906;0.09976;0.08690;0.10613;0.11740;0.11523;0.12317;0.11416;0.11560;0.10504;0.06961;0.10834;0.10853;0.09394;0.10718;0.10345;0.09312;0.12075;0.08110;0.12203;0.12260;0.11042;0.09950;0.08695;0.08595;0.09458;0.09569;0.08828;0.11237;0.11061;0.11124;0.08610
EHI00374;0.09354;0.09611;0.11176;0.10226;0.11248;0.10152;0.11878;0.10180;0.11379;0.09947;0.10999;0.10304;0.11430;0.10734;0.09927;0.10672;0.08893;0.10254;0.08777;0.09865;0.09730;0.10417;0.10195;0.11552;0.10015;0.10120;0.10469;0.12474;0.11121;0.11978;0.09774;0.09697;0.10017;0.09202;0.11078;0.10741;0.10950;0.09970;0.10261;0.10663;0.10631;0.09715;0.10314;0.10253;0.07901;0.08114;0.00000;0.09932;0.08351;0.08185;0.07411;0.06774;0.07895;0.09694;0.07938;0.10349;0.10489;0.07980;0.08906;0.10081;0.09705;0.08654;0.09921;0.09889;0.06714;0.08454;0.09522;0.08113;0.07519;0.09344;0.09515;0.08568;0.07465;0.08908;0.10147;0.10026;0.10693;0.09859;0.09812;0.09128;0.06365;0.09345;0.09256;0.07930;0.09246;0.09071;0.08043;0.10491;0.07665;0.10365;0.10654;0.09375;0.08591;0.08310;0.08717;0.09964;0.08239;0.08064;0.09813;0.09563;0.09687;0.07235
EHI01472;0.08046;0.10128;0.05483;0.11934;0.06452;0.07296;0.06339;0.09376;0.06946;0.08950;0.07454;0.12186;0.07351;0.07349;0.12112;0.08036;0.09292;0.10126;0.11589;0.10678;0.11320;0.14320;0.08679;0.06364;0.10482;0.08757;0.06254;0.05101;0.06645;0.07324;0.12466;0.10686;0.10706;0.07770;0.07276;0.08828;0.07384;0.06619;0.06739;0.07535;0.07882;0.07757;0.01610;0.01829;0.02915;0.11774;0.09932;0.00000;0.04200;0.11217;0.07670;0.06003;0.06389;0.01405;0.10029;0.01337;0.01576;0.07010;0.04251;0.02060;0.01336;0.02318;0.02401;0.02151;0.09082;0.05827;0.02663;0.07844;0.10064;0.02570;0.01603;0.01948;0.04659;0.02144;0.01854;0.02118;0.01365;0.02167;0.02299;0.01739;0.06709;0.03192;0.01648;0.02963;0.02641;0.05436;0.05336;0.01404;0.07869;0.01338;0.01394;0.01559;0.02203;0.10686;0.13363;0.15267;0.04575;0.09479;0.01423;0.02102;0.02060;0.04270
EHI00410;0.07021;0.08785;0.06365;0.10153;0.06917;0.06705;0.07051;0.08097;0.07053;0.07843;0.07355;0.10381;0.07450;0.07175;0.10104;0.07394;0.07686;0.08677;0.10012;0.09059;0.09530;0.12157;0.07721;0.07077;0.08798;0.07731;0.06259;0.07087;0.06800;0.07567;0.10403;0.09131;0.08937;0.06885;0.07208;0.08131;0.07141;0.06202;0.06349;0.07131;0.07355;0.06944;0.04281;0.04278;0.03483;0.09687;0.08351;0.04200;0.00000;0.09427;0.06492;0.05039;0.05554;0.03796;0.08562;0.04249;0.04350;0.06005;0.04732;0.04345;0.03998;0.03644;0.04253;0.04303;0.07597;0.06027;0.04305;0.06793;0.08513;0.04216;0.04014;0.03450;0.04262;0.03806;0.04256;0.04210;0.04461;0.04469;0.04209;0.03558;0.05947;0.04333;0.03615;0.03673;0.04201;0.05342;0.05207;0.04425;0.07012;0.04255;0.04544;0.03864;0.03626;0.09195;0.11236;0.12917;0.04596;0.08101;0.03883;0.04232;0.04326;0.04066
EHI01770;0.10512;0.10544;0.11930;0.11029;0.12347;0.11254;0.12888;0.11270;0.12425;0.11079;0.12188;0.10768;0.12421;0.12041;0.10625;0.11687;0.09813;0.11147;0.09236;0.10844;0.10300;0.10693;0.11384;0.12908;0.10980;0.11244;0.11473;0.13419;0.12381;0.12827;0.10488;0.10690;0.11014;0.10270;0.12390;0.11853;0.12088;0.10972;0.11122;0.11767;0.11788;0.10904;0.11768;0.11218;0.08645;0.08353;0.08185;0.11217;0.09427;0.00000;0.08227;0.07572;0.08922;0.10627;0.08299;0.11413;0.11347;0.08873;0.10096;0.10905;0.10811;0.09781;0.11083;0.11088;0.07017;0.08932;0.10471;0.08972;0.08021;0.10528;0.10436;0.09766;0.08420;0.10026;0.11131;0.10919;0.11594;0.10680;0.10805;0.10265;0.06875;0.10324;0.10111;0.09020;0.10294;0.09942;0.09172;0.11241;0.08143;0.11523;0.11501;0.10591;0.09637;0.08827;0.08747;0.09841;0.09239;0.08734;0.10970;0.10523;0.10566;0.08247
EHI02037;0.08036;0.08739;0.09020;0.09705;0.09184;0.08423;0.09576;0.08888;0.09319;0.08742;0.09198;0.09732;0.09452;0.09139;0.09466;0.08935;0.07944;0.09341;0.08831;0.09114;0.09211;0.10563;0.08899;0.09559;0.09137;0.08794;0.08471;0.10307;0.09198;0.09770;0.09473;0.08998;0.09247;0.07726;0.09326;0.09190;0.09232;0.08052;0.08411;0.08976;0.08967;0.08216;0.08124;0.07770;0.05726;0.08182;0.07411;0.07670;0.06492;0.08227;0.00000;0.05462;0.06373;0.07268;0.07597;0.07996;0.08229;0.06911;0.07052;0.07770;0.07446;0.06472;0.07551;0.07554;0.06766;0.06712;0.07339;0.07037;0.07413;0.07193;0.07279;0.06314;0.05795;0.06774;0.07833;0.07743;0.08314;0.07631;0.07564;0.06807;0.05545;0.07134;0.06847;0.06011;0.07082;0.07191;0.06559;0.07973;0.06681;0.08156;0.08244;0.07219;0.06324;0.08264;0.09512;0.10858;0.06443;0.07668;0.07350;0.07350;0.07276;0.05450
EHI02028;0.06930;0.07663;0.07484;0.08913;0.07766;0.07121;0.08121;0.07927;0.07914;0.07521;0.08003;0.09142;0.08184;0.07867;0.08976;0.07886;0.07042;0.08261;0.08286;0.08305;0.08372;0.10203;0.07724;0.08147;0.08167;0.07711;0.06982;0.08648;0.07786;0.08250;0.09163;0.08212;0.08310;0.06589;0.07957;0.08128;0.07814;0.06826;0.06972;0.07635;0.07687;0.07035;0.06362;0.06066;0.04355;0.07706;0.06774;0.06003;0.05039;0.07572;0.05462;0.00000;0.05197;0.05611;0.06757;0.06205;0.06343;0.05808;0.05658;0.06070;0.05693;0.04784;0.05897;0.05832;0.05988;0.05146;0.05710;0.05962;0.06854;0.05532;0.05344;0.04678;0.04615;0.05077;0.06142;0.05944;0.06543;0.05737;0.05897;0.05124;0.04337;0.05603;0.05279;0.04459;0.05395;0.05724;0.05125;0.06162;0.05561;0.06369;0.06448;0.05366;0.04583;0.07513;0.09125;0.10723;0.05027;0.06895;0.05689;0.05457;0.05392;0.04159
EHI01496;0.07381;0.08555;0.07824;0.09734;0.08111;0.07599;0.08414;0.08455;0.08286;0.08186;0.08258;0.10036;0.08537;0.08169;0.09662;0.08054;0.07667;0.08895;0.09166;0.08904;0.09117;0.11338;0.08167;0.08442;0.08794;0.08223;0.07414;0.08873;0.08088;0.08879;0.09741;0.08951;0.08883;0.07290;0.08288;0.08681;0.08162;0.07261;0.07424;0.08056;0.08153;0.07644;0.06546;0.06436;0.04668;0.08998;0.07895;0.06389;0.05554;0.08922;0.06373;0.05197;0.00000;0.05908;0.08011;0.06577;0.06732;0.06432;0.05915;0.06523;0.06141;0.05324;0.06125;0.06241;0.06962;0.06348;0.06031;0.06846;0.07698;0.05926;0.05953;0.05134;0.05070;0.05545;0.06424;0.06343;0.06833;0.06387;0.06235;0.05482;0.05476;0.05946;0.05546;0.04919;0.05865;0.06302;0.05863;0.06720;0.06865;0.06647;0.06805;0.05901;0.05111;0.08530;0.10314;0.11839;0.05486;0.07683;0.05968;0.06080;0.06154;0.04803
EHI02020;0.07488;0.09793;0.04946;0.11354;0.05992;0.06837;0.05734;0.08836;0.06447;0.08482;0.07080;0.12020;0.06976;0.06811;0.11605;0.07595;0.08902;0.09578;0.11362;0.10295;0.10957;0.13706;0.08107;0.05878;0.09910;0.08425;0.05721;0.04594;0.06142;0.06805;0.11875;0.10230;0.10257;0.07253;0.06767;0.08412;0.06855;0.06151;0.06186;0.06976;0.07407;0.07290;0.01098;0.01351;0.02514;0.11149;0.09694;0.01405;0.03796;0.10627;0.07268;0.05611;0.05908;0.00000;0.09766;0.00850;0.01006;0.06558;0.03855;0.01548;0.00902;0.01880;0.01911;0.01725;0.08740;0.05739;0.02237;0.07434;0.09732;0.02171;0.01250;0.01525;0.04174;0.01688;0.01389;0.01686;0.00900;0.01871;0.01881;0.01367;0.06578;0.02708;0.01137;0.02568;0.02221;0.04959;0.04947;0.00908;0.07675;0.00823;0.00907;0.01139;0.01783;0.10423;0.12989;0.14918;0.04206;0.09156;0.00886;0.01749;0.01674;0.03783
EHI01771;0.09854;0.10304;0.11374;0.10654;0.11408;0.10614;0.11911;0.10873;0.11760;0.10565;0.11440;0.10646;0.11547;0.11457;0.10598;0.11067;0.09507;0.10800;0.09359;0.10436;0.10335;0.11078;0.10833;0.11864;0.10573;0.10562;0.10733;0.12726;0.11560;0.11949;0.10584;0.10302;0.10474;0.09610;0.11492;0.11117;0.11368;0.10324;0.10566;0.11096;0.11022;0.10105;0.10722;0.10265;0.07790;0.08309;0.07938;0.10029;0.08562;0.08299;0.07597;0.06757;0.08011;0.09766;0.00000;0.10189;0.10635;0.08388;0.09067;0.10107;0.09856;0.08656;0.10033;0.09740;0.07027;0.07624;0.09732;0.08406;0.07852;0.09537;0.09182;0.08768;0.07763;0.09068;0.10138;0.10110;0.10652;0.09581;0.09797;0.09103;0.06016;0.09361;0.09343;0.08157;0.09255;0.09000;0.08105;0.10329;0.07241;0.10525;0.10685;0.09505;0.08425;0.08487;0.09116;0.10305;0.08400;0.08410;0.09941;0.09273;0.09319;0.07459
EHI02235;0.08443;0.10670;0.05278;0.12160;0.06480;0.07603;0.06279;0.09951;0.07141;0.09541;0.07757;0.12887;0.07309;0.07601;0.12771;0.08326;0.09922;0.10740;0.12413;0.11108;0.12122;0.14695;0.09020;0.06380;0.11004;0.09331;0.06338;0.04711;0.06726;0.07143;0.13005;0.11059;0.11180;0.08092;0.07441;0.09236;0.07601;0.06851;0.07031;0.07728;0.07966;0.08210;0.00963;0.01179;0.02898;0.12030;0.10349;0.01337;0.04249;0.11413;0.07996;0.06205;0.06577;0.00850;0.10189;0.00000;0.00870;0.07337;0.04341;0.01498;0.00615;0.02055;0.02056;0.01658;0.09385;0.05764;0.02387;0.08053;0.10233;0.02315;0.00946;0.01713;0.04771;0.01769;0.01287;0.01648;0.00457;0.01522;0.01987;0.01406;0.06974;0.03051;0.01272;0.02910;0.02327;0.05528;0.05344;0.00539;0.08015;0.00547;0.00498;0.00997;0.01939;0.11000;0.13707;0.15822;0.04628;0.09807;0.00886;0.01602;0.01352;0.04387
EHI01478;0.08407;0.10550;0.05482;0.12304;0.06522;0.07542;0.06315;0.09581;0.07041;0.09499;0.07606;0.12929;0.07500;0.07501;0.12662;0.08203;0.09931;0.10477;0.12339;0.11265;0.11897;0.14531;0.09014;0.06437;0.10714;0.09158;0.06418;0.04891;0.06743;0.07376;0.12947;0.11152;0.11096;0.08113;0.07393;0.09159;0.07586;0.06772;0.06905;0.07728;0.08147;0.08267;0.01193;0.01478;0.03005;0.12173;0.10489;0.01576;0.04350;0.11347;0.08229;0.06343;0.06732;0.01006;0.10635;0.00870;0.00000;0.07337;0.04388;0.01747;0.01007;0.02288;0.02149;0.01929;0.09479;0.06217;0.02497;0.08189;0.10525;0.02512;0.01421;0.01919;0.04836;0.02004;0.01503;0.01881;0.00898;0.02085;0.02099;0.01606;0.07484;0.03095;0.01412;0.03103;0.02573;0.05618;0.05607;0.00957;0.08422;0.00816;0.00885;0.01295;0.02191;0.11275;0.13976;0.15762;0.04916;0.09817;0.01038;0.02004;0.01880;0.04490
EHI01728;0.07586;0.08706;0.08453;0.10012;0.08634;0.07941;0.08945;0.08617;0.08516;0.08399;0.08720;0.10058;0.09115;0.08548;0.09615;0.08406;0.07820;0.09108;0.09201;0.09082;0.09044;0.10872;0.08533;0.08892;0.08936;0.08408;0.07873;0.09440;0.08558;0.09413;0.09761;0.09111;0.09084;0.07510;0.08731;0.09013;0.08781;0.07590;0.07821;0.08396;0.08681;0.07983;0.07193;0.07182;0.05439;0.09208;0.07980;0.07010;0.06005;0.08873;0.06911;0.05808;0.06432;0.06558;0.08388;0.07337;0.07337;0.00000;0.06486;0.07064;0.06865;0.05973;0.06861;0.07041;0.07124;0.07355;0.06759;0.07253;0.08018;0.06650;0.06850;0.05845;0.05521;0.06213;0.07116;0.07042;0.07649;0.07304;0.06938;0.06140;0.06253;0.06572;0.06248;0.05660;0.06548;0.06973;0.06612;0.07565;0.07376;0.07309;0.07555;0.06718;0.06024;0.08808;0.10225;0.11679;0.06191;0.07976;0.06511;0.06889;0.07153;0.05325
EHI01517;0.07443;0.09178;0.06565;0.10566;0.07162;0.07058;0.07223;0.08478;0.07342;0.08224;0.07655;0.10767;0.07726;0.07441;0.10573;0.07742;0.08190;0.09289;0.10294;0.09650;0.09899;0.12561;0.08079;0.07184;0.09248;0.08299;0.06537;0.07056;0.07121;0.07903;0.10934;0.09737;0.09509;0.07241;0.07518;0.08387;0.07404;0.06557;0.06609;0.07461;0.07806;0.07465;0.04326;0.04368;0.03679;0.10373;0.08906;0.04251;0.04732;0.10096;0.07052;0.05658;0.05915;0.03855;0.09067;0.04341;0.04388;0.06486;0.00000;0.04459;0.04027;0.03873;0.04259;0.04327;0.07963;0.06217;0.04365;0.07294;0.08967;0.04297;0.04129;0.03533;0.04667;0.03884;0.04336;0.04363;0.04478;0.04615;0.04269;0.03648;0.06222;0.04514;0.03689;0.03862;0.04367;0.05691;0.05531;0.04457;0.07522;0.04341;0.04485;0.03888;0.03750;0.09685;0.11748;0.13748;0.04944;0.08423;0.03888;0.04271;0.04372;0.04330
EHI01518;0.07909;0.10314;0.05543;0.11814;0.06550;0.07465;0.06478;0.09406;0.07177;0.09090;0.07550;0.12390;0.07461;0.07562;0.12162;0.08094;0.09417;0.10180;0.11746;0.10705;0.11489;0.14377;0.08787;0.06537;0.10516;0.08740;0.06300;0.05228;0.06758;0.07233;0.12563;0.10707;0.10712;0.07819;0.07420;0.08960;0.07459;0.06740;0.06808;0.07587;0.07903;0.07820;0.01858;0.02032;0.03089;0.11548;0.10081;0.02060;0.04345;0.10905;0.07770;0.06070;0.06523;0.01548;0.10107;0.01498;0.01747;0.07064;0.04459;0.00000;0.01506;0.02397;0.02599;0.02286;0.09052;0.05796;0.02801;0.07828;0.10060;0.02755;0.01744;0.02181;0.04678;0.02241;0.02039;0.02277;0.01612;0.02265;0.02462;0.01941;0.06807;0.03309;0.01865;0.03138;0.02754;0.05524;0.05304;0.01595;0.07960;0.01521;0.01590;0.01684;0.02328;0.10754;0.13734;0.15244;0.04722;0.09482;0.01605;0.02224;0.02117;0.04284
